"","new.id","tissue","x","y","rename_to","old.id"
"1","1","SP17_2566",15.6613466141732,33.2004264566929,"","1"
"2","2","SP17_2566",15.1969808791209,32.9071991208791,"","2"
"3","3","SP17_2566",15.8059869090909,32.5990778181818,"","3"
"4","4","SP17_2566",15.7333981818182,29.8107709090909,"","4"
"6","6","SP17_2566",14.11717525,31.30860275,"","8"
"5","5","SP17_2566",14.2822209302326,31.3197674418605,"","7"
"7","7","SP17_2566",14.8485789189189,30.9585305405405,"","9"
"8","8","SP17_2566",14.944246,30.8015,"","10"
"9","9","SP17_2566",14.0141753658537,32.0028836585366,"","11"
"10","10","SP17_2566",18.364464,21.7501986666667,"","13"
"11.1","11.1","SP17_2566",18.0889126315789,21.6116376315789,"","15-right side of image"
"12","12","SP17_2566",18.5079213114754,21.6221960655738,"","16"
"11.2","11.2","SP17_2566",17.9025012658228,21.5322835443038,"","15-left side of image"
"13_14","13_14","SP17_2566",18.1586568,23.736116,"","18"
"15","15","SP17_2566",18.3204082352941,23.2721094117647,"","21"
"16","16","SP17_2566",18.4595909502262,24.6226500452489,"","22"
"17","17","SP17_2566",18.4723364893617,24.2177121276596,"","23.3,23.1"
"18","18","SP17_2566",18.2576410958904,24.2148183561644,"","23.2"
"19","19","SP17_2566",17.8757945038168,25.2448949618321,"","24"
"20","20","SP17_2566",18.1445084042553,24.8624338297872,"","25"
"21","21","SP17_8693",21.6015869151785,13.1556828571429,"","27"
"22","22","SP17_8693",22.0240450518245,17.700062173913,"","29"
"23","23","SP17_8693",22.7384961684253,18.9814061363636,"","31"
"24","24","SP17_8693",22.2288423773634,18.6739221848739,"","33"
"25","25","SP17_8693",22.5510473047889,18.6504659090909,"","32"
"26","26","SP17_8693",22.7354761317684,19.4109903225806,"","38"
"27","27","SP17_8693",22.4879458050784,19.2099197452229,"","41"
"28","28","SP17_8693",24.2250250320616,11.2210809090909,"","43"
"29","29","SP17_8693",23.8381558314347,13.0198268965517,"","44"
"30","30","SP17_8693",24.6945997723214,17.7145021428571,"","45"
"31.1_31.2","31.1_31.2","SP17_8693",25.5922348983718,19.450825,"","50"
"32","32","SP17_8693",25.3849162461008,19.361684556962,"","51"
"33","33","SP17_8693",25.7005070995103,19.9154151612903,"","52"
"34","34","SP18_3323",33.2679877801851,11.674055412844,"","53"
"35","35","SP18_3323",32.6659050193174,11.3724334579439,"","54"
"36","36","SP18_3323",36.49216802898,20.7928347457627,"","58"
"37","37","SP18_3323",35.7842351640265,20.4996430645161,"","59"
"38","38","SP18_3323",36.5972892366071,20.43917625,"","60"
"39_41","39_41","SP18_3323",35.9721510748424,20.3777355882353,"","61"
"40","40","SP18_3323",35.494028409684,20.2880732307692,"","64"
"42","42","SP18_3323",35.6989154866071,20.0992074418605,"","65"
"43","43","SP18_3323",35.2387645454306,19.9673212941176,"","66"
"44","44","SP18_3323",35.0487104866071,19.968,"","67"
"45","45","SP18_3323",35.445466098852,19.5961824489796,"","69"
"46","46","SP18_3323",34.6467145342261,19.1475736054422,"","71"
"47","47","SP18_3323",34.8603926294642,19.0953085714286,"","72"
"48","48","SP18_3323",34.0049921082287,19.2480298648649,"","73"
"49","49","SP18_3323",33.8987804350607,19.0952639175258,"","74"
"50","50","SP18_3323",33.7569221532738,18.75064,"","76"
"51","51","SP18_3323",33.8373479866071,18.1830199,"","77"
"52","52","SP18_3323",33.3637648033773,17.7761345341615,"","78"
"53","53","SP18_3323",33.0417459213897,17.587232173913,"","79"
"54","54","SP18_3323",33.3859722307931,17.4935451162791,"","80"
"55","55","SP18_8471",26.8623262895268,19.0277687591241,"","81"
"56","56","SP18_8471",27.3827482138798,19.0471945454545,"","new56"
"57","57","SP18_8471",28.172786395698,16.45889,"","83"
"58_60","58_60","SP18_8471",29.9376914049745,13.3523346938776,"","84"
"59","59","SP18_8471",30.1144040803571,12.79899578125,"","86"
"61","61","SP18_8471",29.8876444866071,12.446021,"","87"
"62","62","SP18_8471",30.1360666866071,12.2879198,"","88"
"63","63","SP18_8471",30.3469341822593,12.199062173913,"","90"
"64","64","SP18_8471",27.4667966294642,11.2677131428571,"","91"
"65","65","SP18_8471",28.1662832138798,11.5845622727273,"","93"
"66","66","SP19_1139",24.4244376470588,21.9857694117647,"","94"
"67","67","SP19_1139",24.3576127272727,21.7448345454545,"","95"
"68","68","SP19_1139",23.8596414925373,22.6442043283582,"","98"
"69","69","SP19_1139",23.7136625,22.621890625,"","99"
"70","70","SP19_1139",23.4189285714286,22.3010954285714,"","100"
"71","71","SP19_1139",23.1939758095238,23.5984034285714,"","101"
"72","72","SP19_1139",23.3797091044776,23.4699350746269,"","102"
"73","73","SP19_1139",23.1092957446809,23.32192,"","103"
"74","74","SP19_1139",22.956369137931,22.968085,"","104"
"75","75","SP19_1139",22.761915625,24.123235,"","106"
"76","76","SP19_1139",22.5847525,24.06015625,"","107"
"77","77","SP19_1139",23.1739343902439,23.8118778048781,"","109"
"78","78","SP19_1139",22.5522694545455,23.6869785454546,"","110"
"79.1","79.1","SP19_1139",22.6493294117647,24.6090296470588,"","112.1"
"79.2","79.2","SP19_1139",22.5228203478261,24.5444128695652,"","112.2"
"80","80","SP19_1139",21.98253,24.430899,"","113"
"81","81","SP19_1139",22.7711961151079,24.3831543884892,"","114"
"82_83","82_83","SP19_1139",21.217391942446,26.5107856115108,"","115"
"84","84","SP19_1139",21.2422984,26.3054564,"","116117"
"85.1","85.1","SP19_1139",21.3037288,26.1665456,"","118.1"
"86","86","SP19_1139",21.80602,26.2117314285714,"","119"
"85.2","85.2","SP19_1139",21.4247286842105,26.0683893421053,"","118.2"
"87","87","SP19_1139",20.8966818867925,27.3700543396226,"","120"
"88","88","SP19_1139",21.296752,27.222656,"","121"
"89","89","SP19_1139",20.7336032258065,27.2016548387097,"","122"
"90","90","SP19_1139",21.2649144776119,27.0950814925373,"","123"
"92","92","SP19_1139",20.9470130434783,27.1160495652174,"","124"
"91","91","SP19_1139",20.7911368862275,26.8923886227545,"","125"
"93.1_93.2","93.1_93.2","SP19_1139",21.0768,27.5836377272727,"","128"
"94","94","SP19_1139",20.4759732467532,27.6013262337662,"","127"
"95","95","SP19_1139",20.5984513043478,27.443655,"","129"
"96","96","SP19_1139",20.1726250909091,28.2444890909091,"","130.1"
"97","97","SP19_1139",20.6014663043478,28.2076358695652,"","131"
"99","99","SP19_1139",20.1971109473684,28.0560387368421,"","135"
"98","98","SP19_1139",20.7416446153846,28.0697608791209,"","136"
"100","100","SP19_1139",19.72404,28.9389594244604,"","138"
"101","101","SP19_1139",20.019798,28.865266,"","137.3"
"102.1","102.1","SP19_1139",19.6170080239521,26.3805918562874,"","142.1"
"103","103","SP19_1139",20.047603,26.264507,"","143"
"102.2","102.2","SP19_1139",19.643262278481,26.1928650632911,"","142.2"
"102.3","102.3","SP19_1139",19.7694325,26.11674125,"","142.3"
"104","104","SP19_1139",19.30297,26.0887173469388,"","144"
